host;Questel unique family ID (FAN);Priority dates;Latest standardized assignees - inventors removed
avian;6385933;"2006-03-15
2007-03-15";INTERVET INTERNATIONAL
avian;6406272;"2007-09-11
2008-09-10
2011-03-25
2012-09-26
2013-07-25";ZOETIS SERVICES
avian_flu;6407116;"2006-11-30
2007-11-30
2010-09-03";VARIATION BIOTECHNOLOGIES
mult_sp;6423824;26/12/2006;LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
mult_sp;6437160;"2006-02-13
2007-01-09
2007-02-13";IBIO
avian_flu;6440200;"2006-10-27
2007-10-24
2007-10-26
2012-05-21
2013-10-23";BOEHRINGER INGELHEIM VETMEDICA
avian_flu;6460552;"2006-02-10
2006-04-21
2007-04-20";DOW AGROSCIENCES
mult_sp;6467911;25/05/2007;INSTITUTE OF MICROBIOLOGY & EPIDEMIOLOGY ACADEMY OF MILITARY MEDICAL SCIENCES PR CHINA
avian;6468110;"2006-12-11
2007-12-10";MERIAL
mult_sp;6480323;"2007-03-23
2008-01-17";BIOTECHNOLOGY RESEARCH INSTITUTE CHINESE
mult_sp;6480323;"2007-03-23
2008-01-17";LANZHOU VETERINARY RESEARCH INSTITUTE CAAS
suin;6502153;18/08/2006;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
suin;6502946;29/11/2005;IOWA STATE UNIVERSITY RESEARCH FOUNDATION
suin;6507274;11/07/2006;HEALTHBANKS BIOTECH
suin;6526948;19/10/2007;TSINGHUA UNIVERSITY
avian_flu;6537591;11/10/2007;ZHONGQI BIOLOGICAL PHARMACEUTICAL
avian;6561394;30/12/2006;HENAN AGRICULTURAL UNIVERSITY
suin;6563671;30/04/2007;PHIBRO ANIMAL HEALTH
mult_sp;6571626;13/02/2007;DIWEIHUAYU BIO TECHNOLOGY
suin;6574917;05/10/2006;CEREBUS BIOLOGICALS
mult_sp;6588044;30/09/2007;INSTITUTE OF MILITARY VETERINARY THE ACADEMY OF MILITARY MEDICAL SCIENCES
suin;6613984;13/05/2008;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
mult_sp;6615160;24/04/2008;FUDAN UNIVERSITY
avian_flu;6620283;04/06/2008;UNIVERSITY OF XIAMEN
mult_sp;6620287;28/04/2007;DIWEIHUAYU BIO TECHNOLOGY
avian_flu;6623509;"2006-06-16
2007-06-08";DOW AGROSCIENCES
suin;6626478;25/06/2007;UNIVERSITY OF SOUTH DAKOTA
suin;6632883;23/04/2008;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
avian_flu;6655065;"2007-09-26
2008-02-04
2008-09-26
2010-12-07";MERIAL
avian_flu;6655065;"2007-09-26
2008-02-04
2008-09-26
2010-12-07";SANOFI PASTEUR
avian_flu;6667540;"2007-07-27
2008-07-25";UNIVERSITY OF XIAMEN
avian_flu;6667540;"2007-07-27
2008-07-25";YANG SHENG TANG
avian;6669745;24/09/2008;HARBIN VETERINARY RESEARCH INSTITUTE CAAS
suin;6673413;31/08/2007;BEIJING JIANXIANG HEMU BIOLOGICAL TECHNOLOGY
suin;6680578;09/10/2008;NORTHEAST AGRICULTURAL UNIVERSITY
avian_flu;6688724;10/10/2008;CHONGQING UNIVERSITY
suin;6688729;17/07/2008;ZHEJIANG ACADEMY OF AGRICULTURAL SCIENCES
